NO;NO.INDUK KARYAWAN;AMOUNT
;J0843;8.333
;J0844;8.333
;J0864;600.000
;J0498;600.000
;J0865;600.000
;J0259;900.000
;J0187;900.000
;J0258;900.000
;J0035;600.000
;J0255;250.000
;J0744;250.000
;J0078;600.000
;J0186;600.000
;J0078;600.000
;J0026;250.000
;J0024;250.000
;J0079;250.000
;J0081;100.000
;J0010;250.000
;J0057;250.000
;J0097;250.000
;J0099;250.000
;J0104;250.000
;J0105;250.000
;J0004;600.000
;J0020;250.000
;J0110;100.000
;J0111;100.000
;J0073;600.000
;J0122;250.000
;J0121;250.000
;J0006;250.000
;J0119;100.000
;J0012;900.000
;J0014;600.000
;J0014;250.000
;J0123;100.000
;J0016;100.000
;J0008;600.000
;J0211;900.000
;J0145;600.000
;J0052;600.000
;J0794;250.000
;J0795;900.000
;J0779;250.000
;J0184;250.000
;J0195;600.000
;J0076;250.000
;J0304;250.000
;J0472;250.000
;J0133;900.000
;J0049;600.000
;J0766;250.000
;J0496;600.000
;J0051;100.000
;J0058;100.000
;J0144;900.000
;J0146;600.000
;J0060;600.000
;J0341;600.000
;J0053;600.000
;J0150;600.000
;J0056;100.000
;J0151;600.000
;J0152;250.000
;J0471;600.000
;J0571;600.000
;J0656;600.000
;J0669;600.000
;J0677;600.000
;J0705;100.000
;J0700;250.000
;J0715;600.000
;J0718;600.000
;J0732;250.000
;J0728;250.000
;J0733;600.000
;J0737;250.000
;J0748;250.000
;J0764;600.000
;J0772;250.000
;J0778;600.000
;J0790;550.000
;J0797;50.000
;J0830;33.333
;J0839;16.667
;J0840;16.667
;J0175;600.000
;J0093;250.000
;J0336;600.000
;J0022;600.000
;J0180;600.000
;J0371;250.000
;J0154;900.000
;J0554;250.000
;J0157;600.000
;J0553;600.000
;J0557;600.000
;J0176;600.000
;J0372;600.000
;J0849;600.000
;J0107;600.000
;J0266;600.000
;J0108;900.000
;J0074;250.000
;J0077;250.000
;J0080;250.000
;J0085;250.000
;J0086;600.000
;J0091;250.000
;J0094;250.000
;J0095;600.000
;J0113;100.000
;J0118;250.000
;J0124;600.000
;J0126;250.000
;J0127;250.000
;J0300;250.000
;J0330;250.000
;J0328;250.000
;J0327;250.000
;J0164;600.000
;J0424;250.000
;J0009;600.000
;J0296;250.000
;J0613;600.000
;J0169;100.000
;J0288;250.000
;J0183;250.000
